1.026237	10.273080	0.009174
1.027201	10.282684	0.009178
1.028162	10.292260	0.009181
1.029120	10.301811	0.009184
1.030075	10.311332	0.009188
1.031028	10.320821	0.009191
1.031977	10.330275	0.009194
1.032923	10.339695	0.009198
1.033865	10.349082	0.009201
1.034804	10.358434	0.009205
1.035740	10.367757	0.009208
1.036672	10.377036	0.009211
1.037601	10.386281	0.009215
1.038525	10.395483	0.009218
1.039446	10.404647	0.009221
1.040363	10.413770	0.009225
1.041276	10.422851	0.009228
1.042185	10.431897	0.009232
1.043089	10.440893	0.009235
1.043990	10.449848	0.009238
1.044886	10.458755	0.009242
1.045777	10.467616	0.009245
1.046663	10.476431	0.009248
1.047545	10.485197	0.009252
1.048423	10.493922	0.009255
1.049295	10.502591	0.009259
1.050163	10.511212	0.009262
1.051026	10.519780	0.009265
1.051883	10.528296	0.009269
1.052735	10.536758	0.009272
1.053583	10.545174	0.009276
1.054424	10.553528	0.009279
1.055260	10.561827	0.009282
1.056091	10.570073	0.009286
1.056916	10.578259	0.009289
1.057735	10.586388	0.009293
1.058549	10.594457	0.009296
1.059357	10.602473	0.009299
1.060158	10.610423	0.009303
1.060954	10.618312	0.009306
1.061744	10.626142	0.009310
1.062527	10.633905	0.009313
1.063305	10.641607	0.009317
1.064076	10.649246	0.009320
1.064840	10.656821	0.009323
1.065598	10.664328	0.009327
1.066350	10.671767	0.009330
1.067095	10.679143	0.009334
1.067833	10.686448	0.009337
1.068564	10.693684	0.009341
1.069288	10.700853	0.009344
1.070006	10.707952	0.009347
1.070717	10.714978	0.009351
1.071420	10.721933	0.009354
1.072117	10.728818	0.009358
1.072806	10.735627	0.009361
1.073488	10.742366	0.009365
1.074162	10.749027	0.009368
1.074829	10.755616	0.009372
1.075489	10.762128	0.009375
1.076141	10.768562	0.009379
1.076785	10.774923	0.009382
1.077422	10.781204	0.009385
1.078051	10.787409	0.009389
1.078672	10.793532	0.009392
1.079286	10.799580	0.009396
1.079891	10.805544	0.009399
1.080488	10.811428	0.009403
1.081078	10.817233	0.009406
1.081659	10.822956	0.009410
1.082232	10.828595	0.009413
1.082797	10.834151	0.009417
1.083354	10.839626	0.009420
1.083902	10.845015	0.009424
1.084442	10.850319	0.009427
1.084973	10.855540	0.009431
1.085497	10.860676	0.009434
1.086011	10.865724	0.009438
1.086517	10.870685	0.009441
1.087014	10.875560	0.009445
1.087502	10.880346	0.009448
1.087982	10.885045	0.009452
1.088453	10.889657	0.009455
1.088915	10.894179	0.009459
1.089368	10.898611	0.009462
