  Time                  V(U1:OUT)            
  0.000e+00  -2.000e+01  
  2.000e-10  -2.000e+01  
  4.000e-10  -2.000e+01  
  8.000e-10  -2.000e+01  
  1.600e-09  -2.000e+01  
  3.200e-09  -2.000e+01  
  6.400e-09  -2.000e+01  
  1.280e-08  -2.000e+01  
  2.560e-08  -2.000e+01  
  4.560e-08  -2.000e+01  
  6.560e-08  -2.000e+01  
  8.560e-08  -2.000e+01  
  1.056e-07  -2.000e+01  
  1.256e-07  -2.000e+01  
  1.456e-07  -2.000e+01  
  1.656e-07  -2.000e+01  
  1.856e-07  -2.000e+01  
  2.056e-07  -2.000e+01  
  2.256e-07  -2.000e+01  
  2.456e-07  -2.000e+01  
  2.656042545378e-07  -2.000000000065e+01  
  2.856045930922e-07  -2.000000000065e+01  
  3.056049316466e-07  -2.000000000065e+01  
  3.256052702010e-07  -2.000000000065e+01  
  3.456056087554e-07  -2.000000000065e+01  
  3.656059473097e-07  -2.000000000065e+01  
  3.856062858641e-07  -2.000000000065e+01  
  4.056066244185e-07  -2.000000000065e+01  
  4.256069629729e-07  -2.000000000065e+01  
  4.456073015273e-07  -2.000000000065e+01  
  4.656076400816e-07  -2.000000000065e+01  
  4.856079786360e-07  -2.000000000065e+01  
  5.056083171904e-07  -2.000000000065e+01  
  5.256086557448e-07  -2.000000000065e+01  
  5.456089942992e-07  -2.000000000065e+01  
  5.656093328536e-07  -2.000000000065e+01  
  5.856096714079e-07  -2.000000000065e+01  
  6.056100099623e-07  -2.000000000065e+01  
  6.256103485167e-07  -2.000000000065e+01  
  6.456106870711e-07  -2.000000000065e+01  
  6.656110256255e-07  -2.000000000065e+01  
  6.856113641798e-07  -2.000000000065e+01  
  7.056117027342e-07  -2.000000000065e+01  
  7.256120412886e-07  -2.000000000065e+01  
  7.456123798430e-07  -2.000000000065e+01  
  7.656127183974e-07  -2.000000000065e+01  
  7.856130569518e-07  -2.000000000065e+01  
  8.056133955061e-07  -2.000000000065e+01  
  8.256137340605e-07  -2.000000000065e+01  
  8.456140726149e-07  -2.000000000065e+01  
  8.656144111693e-07  -2.000000000065e+01  
  8.856147497237e-07  -2.000000000065e+01  
  9.056150882781e-07  -2.000000000065e+01  
  9.256154268324e-07  -2.000000000065e+01  
  9.456157653868e-07  -2.000000000065e+01  
  9.656161039412e-07  -2.000000000065e+01  
  9.856164424956e-07  -2.000000000065e+01  
  1.000000000000e-06  -2.000000000065e+01  
