t	y
1.310	5.572765
1.311	5.580431
1.312	5.588092
1.313	5.595750
1.314	5.603405
1.315	5.611056
1.316	5.618703
1.317	5.626346
1.318	5.633986
1.319	5.641622
1.320	5.649255
1.321	5.656884
1.322	5.664509
1.323	5.672131
1.324	5.679749
1.325	5.687363
1.326	5.694974
1.327	5.702581
1.328	5.710185
1.329	5.717785
1.330	5.725381
1.331	5.732974
1.332	5.740563
1.333	5.748149
1.334	5.755731
1.335	5.763310
1.336	5.770884
1.337	5.778456
1.338	5.786024
1.339	5.793588
1.340	5.801148
1.341	5.808705
1.342	5.816259
1.343	5.823809
1.344	5.831355
1.345	5.838898
1.346	5.846438
1.347	5.853973
1.348	5.861506
1.349	5.869034
1.350	5.876560
1.351	5.884081
1.352	5.891599
1.353	5.899114
1.354	5.906625
1.355	5.914133
1.356	5.921637
1.357	5.929138
1.358	5.936635
1.359	5.944128
1.360	5.951618
1.361	5.959105
1.362	5.966588
1.363	5.974068
1.364	5.981544
1.365	5.989017
1.366	5.996486
1.367	6.003952
1.368	6.011414
1.369	6.018873
1.370	6.026328
1.371	6.033780
1.372	6.041229
1.373	6.048674
1.374	6.056115
1.375	6.063554
1.376	6.070988
1.377	6.078420
1.378	6.085847
1.379	6.093272
1.380	6.100693
1.381	6.108111
1.382	6.115525
1.383	6.122936
1.384	6.130343
1.385	6.137747
1.386	6.145147
1.387	6.152545
1.388	6.159938
1.389	6.167329
1.390	6.174716
1.391	6.182099
1.392	6.189479
1.393	6.196856
1.394	6.204230
1.395	6.211600
1.396	6.218967
1.397	6.226330
1.398	6.233690
1.399	6.241046
1.400	6.248400
1.401	6.255750
1.402	6.263096
1.403	6.270440
1.404	6.277779
1.405	6.285116
1.406	6.292449
1.407	6.299779
1.408	6.307106
1.409	6.314429
1.410	6.321749
1.411	6.329065
1.412	6.336379
1.413	6.343689
1.414	6.350995
1.415	6.358299
1.416	6.365599
1.417	6.372895
1.418	6.380189
1.419	6.387479
1.420	6.394766
1.421	6.402049
1.422	6.409330
1.423	6.416607
1.424	6.423881
1.425	6.431151
1.426	6.438418
1.427	6.445682
1.428	6.452943
1.429	6.460200
1.430	6.467455
1.431	6.474705
1.432	6.481953
1.433	6.489198
1.434	6.496439
1.435	6.503677
1.436	6.510911
1.437	6.518143
1.438	6.525371
1.439	6.532596
1.440	6.539818
1.441	6.547036
1.442	6.554252
1.443	6.561464
1.444	6.568673
1.445	6.575879
1.446	6.583081
1.447	6.590280
1.448	6.597477
1.449	6.604670
1.450	6.611859
1.451	6.619046
1.452	6.626229
1.453	6.633409
1.454	6.640586
1.455	6.647760
1.456	6.654931
1.457	6.662098
1.458	6.669263
